,,Damage function,Damage function,Damage function,Damage function,Damage function,Damage function,Damage function,Standard deviation,Standard deviation,Standard deviation,Standard deviation,Standard deviation,Standard deviation,Standard deviation
,,europe,north america,centr&south america,asia,africa,oceania,global,europe,north america,centr&south america,asia,africa,oceania,global
Damage class,"Flood depth, [m]",,,,,,,,,,,,,,
Industrial buildings,3.0,0.7,0.8599999999999999,1.0,0.8566750297600425,0.684652388797364,,0.8202654837114812,,,0.0,0.2344981363754635,,,
Industrial buildings,4.0,0.85,0.937142857142857,1.0,0.9085770039670126,0.9185897858319604,,0.9228619293883661,,,0.0,0.15919786513403172,,,
Industrial buildings,5.0,1.0,0.9800000000000001,1.0,0.9553274630224672,1.0,,0.9870654926044935,,,0.0,0.07945798776767062,,,
Industrial buildings,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,0.0,0.0,,,
Transport,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,,,
Transport,0.5,0.31666666666666665,,0.08771929824561404,0.35751633986928105,,,0.25396743492718726,,,,0.302153830151934,,,
Transport,1.0,0.5416666666666667,,0.1754385964912281,0.5718954248366014,,,0.4296668959981654,,,,0.28148240892351406,,,
Transport,1.5,0.7016666666666667,,0.5964912280701755,0.7333333333333334,,,0.6771637426900585,,,,0.2516611478423584,,,
Transport,2.0,0.8316666666666667,,0.8421052631578947,0.8472222222222223,,,0.8403313840155945,,,,0.1683938285136406,,,
Transport,3.0,1.0,,1.0,1.0,,,1.0,,,,0.0,,,
Transport,4.0,1.0,,1.0,1.0,,,1.0,,,,0.0,,,
Transport,5.0,1.0,,1.0,1.0,,,1.0,,,,0.0,,,
Transport,6.0,1.0,,1.0,1.0,,,1.0,,,,0.0,,,
Infrastructure - roads,0.0,0.0,,,0.0,,,0.0,,,,0.0,,,
Infrastructure - roads,0.5,0.25,,,0.2144369063772049,,,0.23221845318860246,,,,0.06941085737673638,,,
Infrastructure - roads,1.0,0.42,,,0.37275440976933516,,,0.39637720488466754,,,,0.07394393655972636,,,
Infrastructure - roads,1.5,0.55,,,0.6039348710990502,,,0.5769674355495251,,,,0.20581432344927417,,,
Infrastructure - roads,2.0,0.65,,,0.709659090909091,,,0.6798295454545455,,,,0.27055584428363927,,,
Infrastructure - roads,3.0,0.8,,,0.808409090909091,,,0.8042045454545454,,,,0.22124537940109834,,,
Infrastructure - roads,4.0,0.9,,,0.887159090909091,,,0.8935795454545454,,,,0.13351487726763137,,,
Infrastructure - roads,5.0,1.0,,,0.96875,,,0.984375,,,,0.0625,,,
Infrastructure - roads,6.0,1.0,,,1.0,,,1.0,,,,0.0,,,
Agriculture,0.0,0.0,0.018575387611414872,,0.0,0.0,,0.0,,,,0.0,0.0,,
Agriculture,0.5,0.3,0.26779766808978106,,0.135,0.24287356321839082,,0.23641780782704297,,,,0.18894443627691182,0.09597384536040011,,
Agriculture,1.0,0.55,0.4736773774748458,,0.37,0.47183908045977013,,0.466379114483654,,,,0.3510697936308391,0.17508561973223086,,
Agriculture,1.5,0.65,0.5505607847379999,,0.524,0.7413793103448275,,0.6164850237707068,,,,0.4763192206913342,0.2504455007988615,,
Agriculture,2.0,0.75,0.6021613029402708,,0.558,0.9166666666666666,,0.7067069924017344,,,,0.455872789273499,0.14433756729740618,,
Agriculture,3.0,0.85,0.7600570910210638,,0.66,1.0,,0.817514272755266,,,,0.35777087639996635,0.0,,
Agriculture,4.0,0.95,0.8740946024295585,,0.834,1.0,,0.9145236506073896,,,,0.16364595931461248,0.0,,
Agriculture,5.0,1.0,0.954075572089204,,0.9879999999999999,1.0,,0.985518893022301,,,,0.026832815729997503,0.0,,
Agriculture,6.0,1.0,1.0,,1.0,1.0,,1.0,,,,0.0,0.0,,
